id,classification,question,answer,video_url
1,faq_in_common,개인회생을 해야할지 파산신청을 해야할지 고민입니다.,입력하신 사항이 없습니다.,https://www.youtube.com/embed/6EYTK-lefxo
2,faq_in_common,"개인사업자 개인파산, 회생 중 어떤 것이 좋을까?",입력하신 사항이 없습니다.,https://www.youtube.com/embed/XpqNhGPdwZA
3,faq_in_common,"개인회생, 개인파산 신청할 때 전문가의 도움이 필요한 이유",입력하신 사항이 없습니다.,https://www.youtube.com/embed/zhN_c859LLI
4,faq_in_common,"개인회생, 개인파산 신청 후에 해외출국",입력하신 사항이 없습니다.,https://www.youtube.com/embed/14v_2aUzDOs
5,faq_in_common,"개인회생, 개인파산 진행 중 해외출국이 가능할까? ",입력하신 사항이 없습니다.,https://www.youtube.com/embed/CWrbDV67fSE
6,faq_in_common,"개인회생, 개인파산 신청할 때 보험을 해지해야 하나요?",입력하신 사항이 없습니다.,https://www.youtube.com/embed/T54hTg9vp_Q
7,faq_in_common,"개인회생, 개인파산 신청 시 필요한 보험가입내역 출력방법",입력하신 사항이 없습니다.,https://www.youtube.com/embed/Avr5ZK1mOis
8,faq_in_common,"개인회생, 개인파산 보험 가입 내역서 출력하는 방법 ",입력하신 사항이 없습니다.,https://www.youtube.com/embed/sBGBwHT3ujc
9,faq_in_common,체납된 세금 개인회생 및 파산면책 제도를 통해 해결이 가능할까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/RPechCEsV9A
10,faq_in_common,개인회생이나 파산면책 제도로 체납된 세금이 해결되나요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/Jqt9GFLoByM
11,faq_in_common,"도박, 낭비로 발생한 채무도 개인회생 및 개인파산 해결 가능?",입력하신 사항이 없습니다.,https://www.youtube.com/embed/Q5rsH6Q8CFQ
12,faq_in_common,"개인워크아웃, 프리워크아웃 진행 중에도 개인회생 및 개인파산 신청 가능?",입력하신 사항이 없습니다.,https://www.youtube.com/embed/BAFXV-F44rs
13,faq_in_common,서울회생법원 젊은 나이 & 적은 금액 파산면책 실제사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/-mrANkDvyCA
